discoverymethod,n_planets,avg_pl_rade,min_disc_year,max_disc_year
Transit,4650,4.34151580624436,2002,2026
Radial Velocity,1181,9.762627828094423,1995,2026
Microlensing,278,9.97870503597122,2004,2026
Imaging,93,13.659813331573028,2004,2026
Transit Timing Variations,41,6.4639750000000005,2011,2026
Eclipse Timing Variations,17,12.893333333333336,2009,2023
Orbital Brightness Modulation,9,9.64504,2011,2021
Pulsar Timing,8,5.411333333333334,1992,2024
Astrometry,6,12.450000000000001,2013,2025
Pulsation Timing Variations,2,12.75,2007,2016
Disk Kinematics,1,13.3,2019,2019
